VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,40 to 44,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,40 to 44,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,5 to 9,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,0 to 4,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,5 to 9,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,30 to 34,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,30 to 34,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,60 to 64,2007,24,43.777545,-79.28569,9,5,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,65 to 69,2007,24,43.777545,-79.28569,9,5,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,55 to 59,2007,24,43.777545,-79.28569,9,5,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Scarborough,No Control,Dark,Dry,Driver,SMV Other,70 to 74,2007,24,43.777545,-79.28569,9,5,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Dark,Dry,Driver,SMV Other,40 to 44,2007,1,43.743645,-79.49179,9,6,0,0,1,0,0,0,0,0,1
Truck - Open,Local,Mid-Block,Scarborough,No Control,Dark,Dry,Truck Driver,Cyclist Collisions,unknown,2007,3,43.751145,-79.30649,9,6,0,1,0,1,0,0,0,0,1
Other,Local,Mid-Block,Scarborough,No Control,Dark,Dry,Vehicle Owner,Cyclist Collisions,unknown,2007,3,43.751145,-79.30649,9,6,0,1,0,1,0,0,0,0,1
Bicycle,Local,Mid-Block,Scarborough,No Control,Dark,Dry,Cyclist,Cyclist Collisions,40 to 44,2007,3,43.751145,-79.30649,9,6,0,1,0,1,0,0,0,0,1
Other,Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,20 to 24,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,20 to 24,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Passenger,SMV Other,20 to 24,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Vehicle Owner,SMV Other,unknown,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Driver,SMV Other,25 to 29,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,Scarborough,No Control,Dark,Dry,Other Property Owner,SMV Other,unknown,2007,3,43.780645,-79.24419,9,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2007,9,43.797445,-79.31229,9,6,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,unknown,2007,9,43.797445,-79.31229,9,6,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,70 to 74,2007,9,43.797445,-79.31229,9,6,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,SMV Other,45 to 49,2007,6,43.811245,-79.30419,9,0,0,0,1,0,0,0,0,0,0
Other,Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Other Property Owner,SMV Other,unknown,2007,6,43.811245,-79.30419,9,0,0,0,1,0,0,0,0,0,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Dark,Dry,Driver,Sideswipe,25 to 29,2007,22,43.661345,-79.35759,9,0,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Angle,70 to 74,2007,9,43.694245,-79.55859,6,0,0,0,1,0,0,0,0,1,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Dusk,Dry,Pedestrian,Pedestrian Collisions,20 to 24,2007,17,43.743845,-79.30179,11,4,1,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Angle,40 to 44,2007,9,43.694245,-79.55859,6,0,0,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Angle,50 to 54,2007,9,43.694245,-79.55859,6,0,0,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,No Control,Daylight,Dry,Driver,Cyclist Collisions,55 to 59,2007,12,43.750745,-79.38469,6,1,0,1,1,0,0,0,0,0,0
Bicycle,Major Arterial,Intersection,North York,No Control,Daylight,Dry,Cyclist,Cyclist Collisions,70 to 74,2007,12,43.750745,-79.38469,6,1,0,1,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Turning Movement,50 to 54,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,10 to 14,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,65 to 69,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,18,43.650845,-79.34699,7,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Turning Movement,30 to 34,2007,15,43.796145,-79.22749,6,1,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Pedestrian Collisions,unknown,2007,17,43.792445,-79.44579,6,1,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Pedestrian,Pedestrian Collisions,20 to 24,2007,17,43.792445,-79.44579,6,1,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Etobicoke York,Traffic Controller,Dark,Dry,Vehicle Owner,Turning Movement,unknown,2007,22,43.675645,-79.55769,7,2,0,0,1,0,0,0,0,0,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Dark,Dry,Pedestrian,Pedestrian Collisions,35 to 39,2007,18,43.795645,-79.22979,10,2,1,0,1,0,0,0,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Pedestrian,Pedestrian Collisions,45 to 49,2007,17,43.792445,-79.44579,6,1,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,North York,No Control,Daylight,Dry,Vehicle Owner,Rear End,unknown,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,No Control,Daylight,Dry,Driver,Rear End,40 to 44,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
Other,Major Arterial,Intersection,Toronto and East York,Stop Sign,Dark,Dry,Passenger,Angle,15 to 19,2007,20,43.702145,-79.33599,9,6,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,No Control,Daylight,Dry,Vehicle Owner,Rear End,unknown,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,No Control,Daylight,Dry,Driver,Rear End,55 to 59,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
Other,Major Arterial,Intersection,North York,No Control,Daylight,Dry,Vehicle Owner,Rear End,unknown,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,No Control,Daylight,Dry,Driver,Rear End,35 to 39,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
Other,Major Arterial,Intersection,North York,No Control,Daylight,Dry,Other,Rear End,unknown,2007,20,43.734045,-79.35589,6,1,0,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,SMV Other,20 to 24,2007,17,43.854245,-79.17549,6,2,0,0,1,0,0,0,1,1,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2007,19,43.768845,-79.41279,6,3,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,15 to 19,2007,19,43.768845,-79.41279,6,3,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,15 to 19,2007,19,43.770045,-79.26129,6,4,0,0,1,0,0,1,1,1,1
