VEHTYPE,ACCNUM
Bicycle,893580
"Automobile, Station Wagon",890767
Other,892432
"Automobile, Station Wagon",892432
Other,892432
Other,892432
"Automobile, Station Wagon",894195
Bicycle,894195
Other,895068
"Automobile, Station Wagon",895068
Other,895068
Other,891993
Other,891993
"Automobile, Station Wagon",891993
Other,891993
"Automobile, Station Wagon",891993
"Automobile, Station Wagon",891993
Other,891993
Other,892453
Other,892453
Other,892453
Other,892453
"Automobile, Station Wagon",892453
Truck - Open,898340
Other,909380
Other,896606
Bicycle,898340
"Automobile, Station Wagon",909380
Truck - Open,909380
"Automobile, Station Wagon",896606
"Automobile, Station Wagon",907251
Other,898350
"Automobile, Station Wagon",894953
"Automobile, Station Wagon",907251
Bicycle,898350
"Automobile, Station Wagon",906284
Other,894953
"Automobile, Station Wagon",907251
Other,898350
Motorcycle,904596
"Automobile, Station Wagon",897335
Other,897335
"Automobile, Station Wagon",897348
Other,897348
"Automobile, Station Wagon",893720
Other,893720
Other,893720
Other,893720
Other,893720
"Automobile, Station Wagon",893720
"Automobile, Station Wagon",908179
"Automobile, Station Wagon",908179
Other,897456
"Automobile, Station Wagon",897456
Other,897456
"Automobile, Station Wagon",898163
"Automobile, Station Wagon",898163
Other,898163
Other,898163
"Automobile, Station Wagon",898163
"Automobile, Station Wagon",898163
"Automobile, Station Wagon",893964
Other,893964
Other,894030
"Automobile, Station Wagon",894030
"Automobile, Station Wagon",894030
"Automobile, Station Wagon",894423
"Automobile, Station Wagon",894423
Other,894423
Other,898778
Other,898778
"Automobile, Station Wagon",898778
Other,898778
"Automobile, Station Wagon",898778
"Automobile, Station Wagon",894735
Other,894735
"Automobile, Station Wagon",899126
Other,899126
Other,899126
"Automobile, Station Wagon",899369
Other,899369
Other,899537
Other,899537
"Automobile, Station Wagon",899537
Other,899537
"Automobile, Station Wagon",899537
"Automobile, Station Wagon",895615
Other,895615
Other,895615
"Automobile, Station Wagon",895615
"Automobile, Station Wagon",895615
"Automobile, Station Wagon",895615
"Automobile, Station Wagon",895818
Other,895818
"Automobile, Station Wagon",899747
Other,899747
Other,895926
"Automobile, Station Wagon",895926
"Automobile, Station Wagon",896072
Other,896072
"Automobile, Station Wagon",899910
Bicycle,899910
"Automobile, Station Wagon",899914
Other,899914
Other,897350
"Automobile, Station Wagon",897350
Other,897350
Other,897350
Other,900010
Motorcycle,900010
"Automobile, Station Wagon",900242
Motorcycle,900242
"Automobile, Station Wagon",900284
"Automobile, Station Wagon",900284
Motorcycle,900285
"Automobile, Station Wagon",900285
"Automobile, Station Wagon",900307
"Automobile, Station Wagon",900307
Truck - Open,898350
Other,907409
Other,898555
"Automobile, Station Wagon",904596
"Automobile, Station Wagon",898555
Other,905154
"Automobile, Station Wagon",898555
Other,907409
"Automobile, Station Wagon",905154
Other,898801
"Automobile, Station Wagon",907409
"Automobile, Station Wagon",905154
Other,898801
Other,898801
"Automobile, Station Wagon",898801
Other,912860
Other,912860
Other,912860
"Automobile, Station Wagon",912860
"Automobile, Station Wagon",902863
"Automobile, Station Wagon",902863
Bicycle,902863
Other,899004
Other,899004
Other,899004
Other,899004
Other,899004
"Automobile, Station Wagon",899004
Other,899004
"Automobile, Station Wagon",903074
Other,903074
Other,903074
Other,903114
Other,903114
"Automobile, Station Wagon",903114
"Automobile, Station Wagon",903114
"Automobile, Station Wagon",903348
Motorcycle,903348
"Automobile, Station Wagon",939781
Other,939781
"Automobile, Station Wagon",939781
"Automobile, Station Wagon",939781
Other,939781
Other,939781
"Automobile, Station Wagon",939781
"Automobile, Station Wagon",939781
Bicycle,939781
Other,939781
Motorcycle,900117
"Automobile, Station Wagon",900120
Other,900120
Other,900120
"Automobile, Station Wagon",900120
Other,900120
"Automobile, Station Wagon",900159
Other,900159
"Automobile, Station Wagon",903432
Other,903432
Other,903432
Other,903432
"Automobile, Station Wagon",903839
